reviewId,userName,content,score,thumbsUpCount,at,days,sentiment_polarity,keywords
f907b134-cbf7-477f-80c3-8137ebbdb0ec,Rudraksh Sharma,game good give points game every worst thing literally i opened wifi automatically disconnects i tried ways solve found game bugsays client server sync blah blah blah i want open game 10 times day i need restart 5 times periodically every start means 50 times expect rate app developerssolve seriously man,1,0,2023-06-09 16:11:50,2023-06-09,-0.2791666666666667,"['10', '50', 'app', 'automatically', 'blah', 'bugsays', 'client', 'day', 'developerssolve', 'disconnects', 'every', 'expect', 'found', 'game', 'give', 'good', 'literally', 'man', 'means', 'need', 'open', 'opened', 'periodically', 'points', 'rate', 'restart', 'seriously', 'server', 'solve', 'start', 'sync', 'thing', 'times', 'tried', 'want', 'ways', 'wifi', 'worst', '10 times', '50 times', 'app developerssolve', 'automatically disconnects', 'blah blah', 'blah want', 'bugsays client', 'client server', 'day need', 'developerssolve seriously', 'disconnects tried', 'every start', 'every worst', 'expect rate', 'found game', 'game 10', 'game bugsays', 'game every', 'game good', 'give points', 'good give', 'literally opened', 'means 50', 'need restart', 'open game', 'opened wifi', 'periodically every', 'points game', 'rate app', 'restart times', 'seriously man', 'server sync', 'solve found', 'start means', 'sync blah', 'thing literally', 'times day', 'times expect', 'times periodically', 'tried ways', 'want open', 'ways solve', 'wifi automatically', 'worst thing']"
5e545dc3-aeb8-4814-9a4c-e2db3336203e,Binam Chettri,this best game,1,0,2023-06-09 16:12:13,2023-06-09,0.3,"['best', 'game', 'this', 'best game', 'this best']"
7f95c184-c7dc-4dfb-b0ec-f17df34e97e4,Kunal,coc must introduce new trophy players 5000 trophy,2,0,2023-06-09 16:12:40,2023-06-09,0.13636363636363635,"['5000', 'coc', 'introduce', 'must', 'new', 'players', 'trophy', '5000 trophy', 'coc must', 'introduce new', 'must introduce', 'new trophy', 'players 5000', 'trophy players']"
1492ea28-88de-4849-8e0b-d397c755958b,Maxiscool1068,this game optimal,5,0,2023-06-09 16:14:05,2023-06-09,-0.4,"['game', 'optimal', 'this', 'game optimal', 'this game']"
5c79e044-50c7-45ce-8ad2-6ffdbd604906,jonel camanzo,i play game 6 years still i like play nice update coc,5,0,2023-06-09 16:16:24,2023-06-09,0.09999999999999998,"['coc', 'game', 'like', 'nice', 'play', 'still', 'update', 'years', 'game years', 'like play', 'nice update', 'play game', 'play nice', 'still like', 'update coc', 'years still']"
876e9b67-dfdf-45ec-8533-99eb95af7fb9,Amit Gupta,nice,5,0,2023-06-09 16:17:39,2023-06-09,0.6,['nice']
26c472b9-be21-49a1-bb3a-4bd959b28b71,Omer Khan,goid jsjsh,5,0,2023-06-09 16:18:37,2023-06-09,0.0,"['goid', 'jsjsh', 'goid jsjsh']"
dd6361e8-962b-436f-84a5-e3569fc422a6,Justine Alejandre,good,5,0,2023-06-09 16:18:58,2023-06-09,0.7,['good']
bea3c0f9-dcef-4a9e-b861-2b0545653520,J Aris Ahamed,wonderful game i love,5,0,2023-06-09 16:19:23,2023-06-09,0.3666666666666667,"['game', 'love', 'wonderful', 'game love', 'wonderful game']"
190f83f1-3d04-4acf-9fac-c372b10ccce4,GAMER X ARMY,every thing good time taking game plese dceese time,1,0,2023-06-09 16:19:47,2023-06-09,0.14999999999999997,"['dceese', 'every', 'game', 'good', 'plese', 'taking', 'thing', 'time', 'dceese time', 'every thing', 'game plese', 'good time', 'plese dceese', 'taking game', 'thing good', 'time taking']"
