reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
309b274d-840c-4c5f-ab3b-818ad92a0054,Ma. Ailen Asenjo,I love 5 stars,5,0,412.0.0.22.115,2023-05-04 09:51:05,,
dc698fb5-d7e1-4569-8f6e-bf18ba769e56,Madni Uzair,Facebook bast,1,0,,2023-05-04 09:50:09,,
b3738feb-c49c-4286-9ea2-40ac805de434,mcdyss gelbolingo,The Adds conected pirn I change age 7 years old facebook dont let enter I already decided uninstall rate app onestar nevertheless thanks service using facebook sex videos sound including video Anyway I hope change things app Uninstall app goodbye bruhhh Youtube Better,1,0,412.0.0.22.115,2023-05-04 09:49:37,,
6c9ef2ce-c012-4b56-a8d8-55112b9abc9b,lazaro jr roman,Excellent,5,0,400.0.0.37.76,2023-05-04 09:48:27,,
55a1622e-2464-4f50-9425-25dd3a5910da,arif qayyum,Biased,5,0,412.0.0.22.115,2023-05-04 09:46:34,,
89d7485b-37af-4bc9-9386-40492bad26e1,Saifur Rahman,Nice,5,0,412.0.0.22.115,2023-05-04 09:46:05,,
4f3ad1d5-bbf8-4220-ad65-1cf61be08091,Rk Rubel Vai,Nice,5,0,412.0.0.22.115,2023-05-04 09:45:47,,
77145bff-33d4-4569-a483-6635f4083bfe,Jackie Kumar,Jackie Kfgk,5,0,413.0.0.30.104,2023-05-04 09:45:34,,
ac85eaa3-851c-41bf-b444-136f014a5654,Sayed Abdellah,GOOD APP 👍,5,2,412.0.0.22.115,2023-05-04 09:45:17,,
db708faa-d8b3-49f9-8686-7c85996f8d5c,Hello Hello,Asghar,1,0,412.0.0.22.115,2023-05-04 09:44:51,,
fd1f0e76-aace-48bd-996d-79298b1967d8,أزرزن بسري,My icon watch video navigation bar missing,2,0,413.0.0.30.104,2023-05-04 09:44:08,,
9f8651d7-c298-41f7-89b1-ead2cb72e034,Vinyta Shop,013123,5,0,,2023-05-04 09:43:11,,
22018117-8db9-42f2-84c2-0d442598e403,Sourav Karmakar,Excellent,5,0,412.0.0.22.115,2023-05-04 09:41:46,,
35efdaf8-82f2-49c5-bd18-14dcaa9e8871,Rao Ali,Rao shakeel,5,0,,2023-05-04 09:41:41,,
a9640023-2d39-4375-90e0-78e84deea2e0,Swapan Kumar Roy Chowdhury,Facebook served 100percent satisfaction,1,0,409.0.0.27.106,2023-05-04 09:39:49,,
973c7ee1-1554-4563-a088-f4a61031479f,Papai halder,FAK APPS 😂😂😂,5,0,,2023-05-04 09:39:44,,
fd0e5ef7-68c3-4dd2-a3f1-183bf40499dd,Sherry Cappellano,When I get Facebook I locate family friends easily,5,0,,2023-05-04 09:38:54,,
729d13cf-d788-47af-b8ec-5035cf050ffb,Ade Ming,Loading loading loading loading loading every update broken,1,1,412.0.0.22.115,2023-05-04 09:38:44,,
